DisplayName,InternalName,Type,Required,Hidden,Choices,Description,DefaultValue,Group,ReadOnlyField,MaxLength,LookupList,LookupField
Anlagen,Attachments,Attachments,False,False,,,,Benutzerdefinierte Spalten,False,,,
Anmerkung Abnahme,AnmerkungAbnahme,Note,False,False,,,,Benutzerdefinierte Spalten,False,,,
Anmerkungen Producer,AnmerkungenProducer,Note,False,False,,,,Benutzerdefinierte Spalten,False,,,
App erstellt von,AppAuthor,Lookup,False,False,,,,Benutzerdefinierte Spalten,True,,AppPrincipals,Title
App geändert von,AppEditor,Lookup,False,False,,,,Benutzerdefinierte Spalten,True,,AppPrincipals,Title
Aufbewahrungsbezeichnung,_ComplianceTag,Lookup,False,False,,,,Benutzerdefinierte Spalten,True,,,ComplianceTag
Aufbewahrungsbezeichnung angewendet.,_ComplianceTagWrittenTime,Lookup,False,False,,,,Benutzerdefinierte Spalten,True,,,ComplianceTagWrittenTime
Bearbeiten,Edit,Computed,False,False,,,,Benutzerdefinierte Spalten,True,,,
Beschreibungstext,Beschreibungstext,Note,False,False,,,,Benutzerdefinierte Spalten,False,,,
Bezeichnung angewendet von,_ComplianceTagUserId,Lookup,False,False,,,,Benutzerdefinierte Spalten,True,,,ComplianceTagUserId
Bezeichnungseinstellung,_ComplianceFlags,Lookup,False,False,,,,Benutzerdefinierte Spalten,True,,,ComplianceFlags
Complianceobjekt-ID,ComplianceAssetId,Text,False,False,,,,Benutzerdefinierte Spalten,True,255,,
Datei (CF/Kachel),PostTitel,Text,False,False,,,Format-JJJJMMTT-Künstler-Thema-CF,Benutzerdefinierte Spalten,False,255,,
Element ist eine Aufzeichnung,_IsRecord,Computed,False,False,,,,Benutzerdefinierte Spalten,True,,,
Erstellt,Created,DateTime,False,False,,,,Benutzerdefinierte Spalten,True,,,
Erstellt von,Author,User,False,False,,,,Benutzerdefinierte Spalten,True,,{6ec1c308-b423-4560-afaf-975bceeea128},
Farbkennzeichnung,_ColorTag,Text,False,False,,,,Benutzerdefinierte Spalten,True,255,,
FB-Abnahme-Link,FB_x002d_Abnahme_x002d_Link,Text,False,False,,,,Benutzerdefinierte Spalten,False,255,,
FB-Kachel,FB_x002d_Kachel,Thumbnail,False,False,,,,Benutzerdefinierte Spalten,False,,,
FB-Status,FB_x002d_Status,Choice,False,False,Veröffentlicht | Abgenommen | Überprüft | Abnahmebereit | Entwurf | Depubliziert | Gesperrt,,Entwurf,Benutzerdefinierte Spalten,False,,,
FB-Thumbnail,FB_x002d_Thumbnail0,Thumbnail,False,False,,,,Benutzerdefinierte Spalten,False,,,
fertige Verpackungen,Container,MultiChoice,False,False,▶ YouTube | 💬 Facebook | 🎬 Reel | ✨ Cleanfeed | ✨ ReelCleanfeed | Reel WDR extern 🔀 | Video WDR extern 🔀 | Sträter FB 🎩 | 🎬 Reel extern | ▶ YouTube extern | 💬 Facebook extern | ✍ YouTube-Kachel | ✍ Facebook-Kachel | ✍ Instagram-Kachel,,,Benutzerdefinierte Spalten,False,,,
Flow,Flow,Boolean,False,False,,,1,Benutzerdefinierte Spalten,False,,,
Folge,Folge,Lookup,False,False,,,,Benutzerdefinierte Spalten,False,,08c76ffb-e10b-4158-92b5-73a509a221cc,Title
Format,Content,Choice,False,False,📺Video | 🎬Reel/Short | 🖼️Kachel,,,Benutzerdefinierte Spalten,False,,,
Format 2,Format_x0020_2,TaxonomyFieldTypeMulti,False,False,,,,Benutzerdefinierte Spalten,False,,{51036f2f-436a-478e-b1d0-67915ab01832},"Term$Resources:core,Language;"
Format berechnet,Format_x0020_berechnet,Calculated,False,False,,,,Benutzerdefinierte Spalten,True,,,
Fotos,Fotos,Boolean,False,False,,,1,Benutzerdefinierte Spalten,False,,,
Geändert,Modified,DateTime,False,False,,,,Benutzerdefinierte Spalten,True,,,
